0 48400 98304 173280 262144 302570 480000 518400 907148 960000 2073600
3 0.000721861 0.000728996 0.00188349 0.00234007 0.00234916 0.00403543 0.00522698 0.00691287 0.00812393 0.0154487
9 0.00100172 0.00277368 0.00342022 0.00490608 0.00524674 0.00899556 0.0109925 0.0152076 0.0179011 0.0346316
27 0.00240311 0.00466419 0.00892314 0.0153419 0.0149843 0.0258178 0.0305492 0.0416063 0.0486905 0.0945545
49 0.00425673 0.00834214 0.0154854 0.0290619 0.0280914 0.0431548 0.0517959 0.0746981 0.0872662 0.190502
81 0.00710188 0.015548 0.0257976 0.0457011 0.0483365 0.0664274 0.0817081 0.148328 0.173253 0.465079
243 0.0199619 0.0453827 0.0761792 0.170351 0.165245 0.227054 0.280439 0.405358 0.452268 1.11817
399 0.0322086 0.0864237 0.1608 0.25537 0.262703 0.394887 0.417615 0.789505 0.841662 1.85576
511 0.0409618 0.0951703 0.186795 0.315625 0.337263 0.486354 0.537601 1.0711 1.08135 2.42502
729 0.0598641 0.141506 0.341336 0.425321 0.533627 0.697106 0.814227 1.7426 2.31424 4.8661
1023 0.0814272 0.186374 0.465837 0.714002 0.711824 1.04003 1.16972 2.55837 2.73704 6.78787
0 48400 98304 173280 262144 302570 480000 518400 907148 960000 2073600
3 0.000276246 0.000357985 0.000970939 0.00112954 0.00107956 0.00206003 0.00229304 0.00344066 0.00404568 0.00766126
9 0.00210735 0.00294646 0.00601266 0.00906129 0.00936031 0.0159695 0.0191776 0.0273954 0.0317745 0.0640394
27 0.0141741 0.0262096 0.0505109 0.0786139 0.080548 0.140558 0.169429 0.240421 0.278585 0.576452
49 0.0453068 0.0879097 0.170352 0.258052 0.267061 0.449524 0.530073 0.849917 1.10171 1.93113
81 0.121553 0.240085 0.439907 0.75447 0.788984 1.19399 1.2701 2.62022 2.46863 5.28546
243 1.08026 2.25081 4.25983 6.39324 7.24906 10.7761 11.6649 20.5606 21.8425 46.8329
399 2.98656 6.15545 11.7787 17.0489 19.2307 30.1595 32.2392 56.4747 59.2587 128.973
511 5.02263 10.7545 20.3689 28.8066 32.6977 50.393 55.4916 97.8193 101.073 219.308
729 10.4297 22.4232 41.6709 60.2806 68.2548 105.604 114.111 203.144 211.172 455.541
1023 21.3658 43.9282 133.229 114.369 133.669 208.053 223.497 396.967 415.899 892.733
0 48400 98304 173280 262144 302570 480000 518400 907148 960000 2073600
3 0.0207419 0.105045 0.20314 0.57604 0.526441 0.931771 0.724111 0.437941 4.02494 5.36078
9 0.0143609 0.0219709 0.0926861 0.0636835 0.139541 0.292404 0.391417 2.79378 1.11006 2.51173
27 0.0271929 0.0530996 0.0792516 0.660297 0.61974 0.846352 0.795956 0.958071 2.91244 2.27988
49 0.0461165 0.0259088 0.390151 0.0634136 0.749503 0.196807 0.137919 2.84599 0.423666 1.16709
81 0.0142561 0.0396732 0.051977 0.14302 0.154275 0.149982 0.201687 0.656528 0.235196 0.719258
243 0.0581044 0.527633 0.229391 0.250915 0.173546 3.45485 2.54701 0.39582 4.22298 8.82907
399 0.363346 0.359845 1.35955 0.25615 0.746862 5.58027 1.06893 0.658847 5.58046 11.8328
511 0.384553 1.56828 0.436431 0.797004 1.23154 1.19475 0.411504 4.22043 1.70805 1.60153
729 0.687849 0.943839 1.11066 0.620835 8.43552 2.52062 4.86631 14.4251 5.58425 9.62304
1023 0.545329 1.18023 10.4878 1.64678 3.10291 21.013 13.8818 9.52262 17.372 66.5937
0 48400 98304 173280 262144 302570 480000 518400 907148 960000 2073600
3 0.000304271 0.000166582 0.000457056 0.000457955 0.000503133 0.000833138 0.000986598 0.00146626 0.0016428 0.00334072
9 0.000315535 0.000772121 0.00094524 0.00161477 0.00173809 0.00254487 0.00315021 0.00482128 0.00520408 0.0105068
27 0.000955344 0.00171521 0.00275533 0.00476595 0.00476561 0.00808944 0.00932017 0.0129262 0.016561 0.0289394
49 0.00128725 0.00271455 0.00480457 0.00801036 0.00900055 0.014147 0.0165172 0.0235745 0.028526 0.0591421
81 0.0022321 0.0043581 0.00820995 0.0135626 0.0151224 0.021471 0.0261846 0.0458707 0.0566168 0.142354
243 0.00705349 0.01343 0.0250216 0.0503425 0.053142 0.0752271 0.0840385 0.134537 0.166621 0.344955
399 0.0111052 0.0251613 0.0494667 0.0747099 0.078637 0.125992 0.126061 0.2342 0.325102 0.617341
511 0.0138292 0.0292045 0.0632518 0.0853461 0.100878 0.153031 0.17238 0.338935 0.353295 0.962026
729 0.0188798 0.0446456 0.115926 0.122508 0.158416 0.227611 0.260727 0.58674 0.600521 1.59564
1023 0.0262528 0.0554267 0.12655 0.188118 0.220997 0.290961 0.377481 0.960164 0.871534 2.62963
0 48400 98304 173280 262144 302570 480000 518400 907148 960000 2073600
3 0.0221324 0.10643 0.204005 0.574807 0.526411 0.934857 0.731496 0.439195 4.02644 5.42877
9 0.0144289 0.0217627 0.0923954 0.0626893 0.139059 0.293041 0.39279 2.7977 1.11318 2.58511
27 0.0273716 0.0540483 0.0801401 0.660008 0.619039 0.847117 0.795994 0.959207 2.89781 2.28274
49 0.0466198 0.0259381 0.391377 0.0633756 0.747833 0.196706 0.137893 2.86073 0.427114 1.20069
81 0.0144442 0.0393028 0.0521958 0.142165 0.154854 0.150569 0.202476 0.654968 0.235951 0.725842
243 0.0575114 0.527179 0.229607 0.251919 0.17693 3.45743 2.54598 0.394138 4.05021 9.02059
399 0.361888 0.360557 1.35921 0.255844 0.741594 5.5376 1.06742 0.661297 5.56729 11.8148
511 0.384245 1.58802 0.435797 0.798117 1.21392 1.19309 0.409497 4.21672 1.7075 1.6036
729 0.690595 0.940978 1.11196 0.616033 8.44727 2.51947 4.86855 14.3683 5.58402 9.56953
1023 0.54668 1.17746 10.5212 1.64688 3.11015 21.0093 13.8855 9.53543 17.835 66.4037
